Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
19-07-2022,5195,Shasti,Uttara-Bhadra,Vanija,Atiganda,"24 10'10""",Meena
20-09-2022,5194,Dasami,Punarwasu,Vanija,Variyan,"24 10'18""",Mithuna
04-08-2022,5194,Shasti,Chitta,Taitula,Sadhya,"24 10'12""",Kanya
17-08-2022,5193,Shasti,Ashwini,Garaja,Ganda,"24 10'14""",Mesha
19-01-2022,5168,Padyami,Pushyami,Kaulava,Prithi,"24 9'43""",Karkataka
30-06-2022,5164,Padyami,Punarwasu,Bawa,Dhruva,"24 10'6""",Mithuna
14-01-2021,5162,Padyami,Uttara-Shaada,Bawa,Vajra,"24 8'50""",Makara
14-09-2022,5159,Chaviti,Ashwini,Balava,Dhruva,"24 10'17""",Mesha
14-05-2022,5146,Trayodasi,Chitta,Kaulava,Siddhi,"24 9'58""",Kanya
16-08-2022,5144,Panchami,Revathi,Kaulava,Soola,"24 10'14""",Meena
30-06-2021,5139,Shasti,Satabhisham,Garaja,Ayushman,"24 9'13""",Kumbha
03-08-2022,5137,Panchami,Hasta,Balava,Siddha,"24 10'12""",Kanya
15-06-2021,5134,Panchami,Aslesha,Bawa,Vyaghata,"24 9'10""",Karkataka
21-01-2023,5130,Chaturdasi,Purva-Shada,Sakuna,Harshana,"24 10'37""",Dhanu
08-07-2022,5126,Navami,Chitta,Balava,Siva,"24 10'8""",Tula
30-09-2022,5118,Panchami,Visakha,Bawa,Prithi,"24 10'19""",Vrushchika
19-12-2020,5107,Panchami,Dhanista,Bawa,Harshana,"24 8'45""",Makara
13-08-2021,5098,Panchami,Hasta,Bawa,Sadhya,"24 9'20""",Kanya
17-06-2021,5092,Sapthami,Pubha,Garaja,Vajra,"24 9'11""",Simha
28-12-2021,5078,Navami,Hasta,Taitula,Sobhana,"24 9'39""",Kanya
25-09-2020,5073,Navami,Purva-Shada,Balava,Sobhana,"24 8'33""",Dhanu
02-11-2022,5070,Navami,Sravanam,Balava,Ganda,"24 10'23""",Makara
29-08-2022,5070,Vidhiya,Uttara,Balava,Siddha,"24 10'16""",Simha
26-10-2020,5070,Dasami,Dhanista,Garaja,Vridhi,"24 8'36""",Kumbha
08-08-2022,5060,Ekadasi,Jyesta,Vanija,Indra,"24 10'13""",Vrushchika
20-09-2021,5052,Chaturdasi,Satabhisham,Vanija,Soola,"24 9'24""",Kumbha
21-06-2022,5049,Ashtami,Purva-Bhadra,Balava,Ayushman,"24 10'4""",Meena
02-06-2022,5048,Thadiya,Aarudra,Taitula,Soola,"24 10'1""",Mithuna
07-09-2021,5047,Amavasya,Pubha,Nagava,Siddha,"24 9'23""",Simha
16-06-2021,5045,Shasti,Makha,Kaulava,Harshana,"24 9'10""",Simha
31-10-2020,5043,Punnami,Ashwini,Vishti,Vajra,"24 8'37""",Mesha
12-08-2021,5040,Chavithi,Uttara,Vanija,Siddha,"24 9'20""",Kanya
05-10-2022,5038,Dasami,Sravanam,Taitula,Sukarman,"24 10'20""",Makara
23-06-2022,5031,Dasami,Revathi,Vanija,Sobhana,"24 10'5""",Meena
27-07-2022,5030,Chaturdasi,Aarudra,Vishti,Harshana,"24 10'11""",Mithuna
13-09-2021,5026,Sapthami,Anuradha,Garaja,Vishkambha,"24 9'24""",Vrushchika
04-01-2022,5024,Vidhiya,Uttara-Shaada,Balava,Vyaghata,"24 9'40""",Makara
14-09-2021,5016,Ashtami,Jyesta,Vishti,Prithi,"24 9'24""",Vrushchika
24-08-2021,5008,Vidhiya,Purva-Bhadra,Taitula,Sukarman,"24 9'22""",Kumbha
09-04-2022,5003,Ashtami,Aarudra,Vishti,Atiganda,"24 9'53""",Mithuna
22-06-2022,4997,Navami,Uttara-Bhadra,Taitula,Saubhagya,"24 10'5""",Meena
26-08-2021,4987,Chaviti,Revathi,Bawa,Soola,"24 9'22""",Meena
03-03-2022,4980,Padyami,Satabhisham,Kimstughana,Siddha,"24 9'49""",Kumbha
15-06-2022,4971,Padyami,Mula,Balava,Subha,"24 10'3""",Dhanu
31-12-2021,4967,Dvadasi,Anuradha,Taitula,Soola,"24 9'40""",Vrushchika
19-10-2020,4966,Thadiya,Visakha,Taitula,Ayushman,"24 8'36""",Vrushchika
15-10-2022,4957,Panchami,Mrugasira,Taitula,Variyan,"24 10'21""",Vrushabha
13-07-2022,4954,Chaturdasi,Mula,Vanija,Indra,"24 10'9""",Dhanu
19-09-2022,4953,Navami,Aarudra,Taitula,Vyatipata,"24 10'18""",Mithuna
29-06-2022,4945,Amavasya,Aarudra,Nagava,Vridhi,"24 10'6""",Mithuna
21-02-2022,4944,Panchami,Chitta,Kaulava,Ganda,"24 9'48""",Kanya
25-08-2021,4942,Thadiya,Uttara-Bhadra,Vanija,Dhrithi,"24 9'22""",Meena
18-12-2021,4942,Chaturdasi,Rohini,Vanija,Sadhya,"24 9'37""",Vrushabha
22-07-2021,4940,Trayodasi,Mula,Kaulava,Indra,"24 9'17""",Dhanu
06-07-2022,4915,Sapthami,Uttara,Garaja,Variyan,"24 10'7""",Kanya
15-09-2022,4913,Panchami,Bharani,Taitula,Vyaghata,"24 10'17""",Mesha
04-01-2021,4912,Panchami,Pubha,Taitula,Ayushman,"24 8'48""",Simha
31-01-2023,4907,Dasami,Rohini,Garaja,Bramha,"24 10'39""",Vrushabha
29-12-2021,4903,Dasami,Chitta,Vanija,Atiganda,"24 9'39""",Tula
04-12-2019,4886,Ashtami,Satabhisham,Vishti,Harshana,"24 7'52""",Kumbha
08-07-2021,4885,Trayodasi,Mrugasira,Vanija,Vridhi,"24 9'14""",Vrushabha
24-03-2022,4874,Shasti,Jyesta,Vanija,Siddhi,"24 9'51""",Vrushchika
11-08-2021,4861,Thadiya,Pubha,Taitula,Siva,"24 9'20""",Simha
11-01-2022,4859,Navami,Ashwini,Balava,Siddha,"24 9'42""",Mesha
13-09-2022,4858,Thadiya,Revathi,Vishti,Vridhi,"24 10'17""",Meena
26-07-2022,4856,Trayodasi,Mrugasira,Garaja,Vyaghata,"24 10'11""",Mithuna
08-01-2021,4854,Dasami,Swati,Vanija,Dhrithi,"24 8'49""",Tula
08-06-2022,4851,Ashtami,Pubha,Bawa,Vajra,"24 10'2""",Simha
01-01-2023,4848,Dasami,Ashwini,Taitula,Siva,"24 10'34""",Mesha
07-06-2022,4835,Sapthami,Makha,Vanija,Harshana,"24 10'2""",Simha
07-07-2022,4830,Ashtami,Hasta,Vishti,Parigha,"24 10'7""",Kanya
29-07-2021,4829,Panchami,Uttara-Bhadra,Taitula,Sukarman,"24 9'18""",Meena
20-02-2021,4820,Ashtami,Kruthika,Bawa,Indra,"24 8'55""",Vrushabha
13-01-2021,4820,Amavasya,Purva-Shada,Nagava,Vyaghata,"24 8'50""",Dhanu
21-11-2022,4816,Dvadasi,Chitta,Taitula,Ayushman,"24 10'26""",Kanya
05-08-2021,4801,Dvadasi,Mrugasira,Kaulava,Harshana,"24 9'19""",Mithuna
07-05-2021,4792,Ekadasi,Purva-Bhadra,Bawa,Vaidhruthi,"24 9'4""",Kumbha
13-12-2020,4784,Trayodasi,Visakha,Vanija,Sukarman,"24 8'44""",Vrushchika
11-12-2021,4777,Ashtami,Purva-Bhadra,Vishti,Vajra,"24 9'36""",Kumbha
28-10-2021,4772,Sapthami,Punarwasu,Bawa,Siddha,"24 9'29""",Mithuna
12-07-2022,4755,Trayodasi,Jyesta,Taitula,Bramha,"24 10'8""",Vrushchika
05-07-2022,4750,Shasti,Pubha,Kaulava,Vyatipata,"24 10'7""",Simha
03-06-2021,4742,Ashtami,Purva-Bhadra,Kaulava,Vishkambha,"24 9'8""",Kumbha
27-09-2022,4725,Padyami,Hasta,Bawa,Bramha,"24 10'19""",Kanya
06-04-2020,4724,Trayodasi,Pubha,Kaulava,Ganda,"24 8'9""",Simha
23-08-2021,4720,Padyami,Satabhisham,Balava,Atiganda,"24 9'21""",Kumbha
11-12-2022,4719,Thadiya,Punarwasu,Vanija,Sukla,"24 10'30""",Mithuna
07-07-2021,4716,Dvadasi,Rohini,Taitula,Ganda,"24 9'14""",Vrushabha
23-06-2021,4713,Trayodasi,Anuradha,Taitula,Sadhya,"24 9'12""",Vrushchika
02-08-2022,4708,Chavithi,Uttara,Vishti,Siva,"24 10'12""",Kanya
23-10-2020,4707,Sapthami,Uttara-Shaada,Vanija,Sukarman,"24 8'36""",Dhanu
16-08-2021,4706,Ashtami,Visakha,Bawa,Bramha,"24 9'21""",Vrushchika
29-09-2022,4703,Thadiya,Swati,Garaja,Vaidhruthi,"24 10'19""",Tula
02-06-2021,4701,Ashtami,Satabhisham,Balava,Vaidhruthi,"24 9'8""",Kumbha
26-11-2020,4699,Ekadasi,Revathi,Vishti,Siddhi,"24 8'41""",Meena
26-06-2020,4699,Panchami,Makha,Balava,Vajra,"24 8'21""",Simha
28-06-2022,4696,Chaturdasi,Mrugasira,Sakuna,Ganda,"24 10'6""",Vrushabha
03-12-2022,4688,Dasami,Uttara-Bhadra,Garaja,Siddhi,"24 10'28""",Meena
12-10-2021,4685,Sapthami,Mula,Garaja,Sobhana,"24 9'27""",Dhanu
26-05-2021,4680,Punnami,Visakha,Vishti,Parigha,"24 9'7""",Vrushchika
05-01-2021,4671,Shasti,Uttara,Vanija,Saubhagya,"24 8'48""",Simha
22-06-2021,4667,Dvadasi,Visakha,Balava,Siddha,"24 9'11""",Tula
06-02-2020,4662,Dvadasi,Mrugasira,Bawa,Vaidhruthi,"24 8'3""",Mithuna
26-07-2021,4660,Vidhiya,Dhanista,Garaja,Saubhagya,"24 9'17""",Kumbha
26-09-2022,4659,Amavasya,Uttara,Nagava,Sukla,"24 10'19""",Kanya
19-06-2020,4658,Trayodasi,Kruthika,Vanija,Dhrithi,"24 8'20""",Vrushabha
24-12-2022,4652,Padyami,Mula,Kimstughana,Vridhi,"24 10'32""",Dhanu
28-06-2021,4648,Chaviti,Sravanam,Bawa,Vishkambha,"24 9'13""",Makara
14-06-2021,4646,Chavithi,Pushyami,Vanija,Dhruva,"24 9'10""",Karkataka
23-03-2020,4640,Chaturdasi,Purva-Bhadra,Sakuna,Subha,"24 8'8""",Kumbha
21-05-2021,4636,Navami,Pubha,Kaulava,Harshana,"24 9'6""",Simha
12-11-2019,4633,Punnami,Bharani,Vishti,Vyatipata,"24 7'48""",Mesha
16-01-2021,4630,Thadiya,Dhanista,Garaja,Vyatipata,"24 8'50""",Kumbha
21-05-2022,4622,Shasti,Uttara-Shaada,Garaja,Sukla,"24 9'59""",Makara
21-06-2021,4617,Ekadasi,Swati,Vanija,Siva,"24 9'11""",Tula
31-01-2021,4609,Thadiya,Makha,Vanija,Sobhana,"24 8'53""",Simha
01-08-2022,4606,Thadiya,Pubha,Garaja,Parigha,"24 10'12""",Simha
27-10-2020,4599,Ekadasi,Satabhisham,Vishti,Dhruva,"24 8'37""",Kumbha
30-01-2021,4596,Vidhiya,Aslesha,Taitula,Saubhagya,"24 8'52""",Karkataka
10-06-2021,4591,Amavasya,Rohini,Chatushpada,Dhrithi,"24 9'9""",Vrushabha
05-11-2022,4572,Dvadasi,Uttara-Bhadra,Bawa,Vyaghata,"24 10'24""",Meena
13-12-2019,4571,Padyami,Mrugasira,Kaulava,Subha,"24 7'54""",Mithuna
24-01-2021,4565,Ekadasi,Rohini,Vanija,Bramha,"24 8'51""",Vrushabha
12-12-2019,4564,Punnami,Rohini,Bawa,Sadhya,"24 7'53""",Vrushabha
27-06-2022,4561,Trayodasi,Rohini,Vanija,Soola,"24 10'6""",Vrushabha
12-06-2020,4554,Sapthami,Satabhisham,Vishti,Vishkambha,"24 8'18""",Kumbha
12-07-2021,4552,Vidhiya,Pushyami,Kaulava,Vajra,"24 9'15""",Karkataka
18-01-2021,4544,Panchami,Purva-Bhadra,Balava,Parigha,"24 8'50""",Kumbha
06-07-2021,4534,Dvadasi,Kruthika,Kaulava,Soola,"24 9'14""",Vrushabha
07-02-2021,4529,Dasami,Jyesta,Vishti,Vyaghata,"24 8'54""",Vrushchika
08-11-2020,4515,Sapthami,Pushyami,Bawa,Subha,"24 8'38""",Karkataka
02-08-2021,4512,Navami,Kruthika,Garaja,Vridhi,"24 9'19""",Mesha
19-03-2020,4511,Dasami,Uttara-Shaada,Vishti,Parigha,"24 8'7""",Makara
16-04-2022,4510,Chaturdasi,Hasta,Vanija,Vyaghata,"24 9'54""",Kanya
21-07-2021,4508,Dvadasi,Jyesta,Bawa,Bramha,"24 9'17""",Vrushchika
09-06-2021,4492,Chaturdasi,Kruthika,Sakuna,Sukarman,"24 9'9""",Vrushabha
01-01-2021,4492,Vidhiya,Pushyami,Garaja,Vaidhruthi,"24 8'47""",Karkataka
24-12-2021,4491,Panchami,Aslesha,Kaulava,Vishkambha,"24 9'38""",Karkataka
07-01-2021,4490,Ashtami,Chitta,Kaulava,Sukarman,"24 8'49""",Kanya
12-09-2022,4489,Vidhiya,Uttara-Bhadra,Garaja,Ganda,"24 10'17""",Meena
05-05-2021,4485,Navami,Dhanista,Taitula,Bramha,"24 9'3""",Kumbha
19-07-2021,4483,Dasami,Visakha,Taitula,Sadhya,"24 9'16""",Tula
22-05-2020,4482,Amavasya,Bharani,Chatushpada,Sobhana,"24 8'15""",Mesha
28-09-2020,4478,Dvadasi,Dhanista,Bawa,Dhrithi,"24 8'33""",Makara
12-02-2022,4475,Ekadasi,Mrugasira,Vanija,Vishkambha,"24 9'47""",Mithuna
25-07-2022,4472,Dvadasi,Mrugasira,Kaulava,Dhruva,"24 10'11""",Vrushabha
13-11-2019,4466,Padyami,Kruthika,Balava,Variyan,"24 7'49""",Mesha
02-04-2022,4457,Padyami,Revathi,Bawa,Indra,"24 9'52""",Meena
10-10-2022,4455,Punnami,Revathi,Bawa,Vyaghata,"24 10'20""",Meena
11-12-2019,4454,Chaturdasi,Kruthika,Vanija,Siddha,"24 7'53""",Vrushabha
06-05-2021,4452,Dasami,Satabhisham,Vanija,Indra,"24 9'3""",Kumbha
03-08-2021,4448,Dasami,Rohini,Vishti,Dhruva,"24 9'19""",Vrushabha
06-01-2023,4445,Chaturdasi,Aarudra,Vanija,Bramha,"24 10'35""",Mithuna
19-03-2022,4441,Padyami,Hasta,Kaulava,Vridhi,"24 9'51""",Kanya
01-06-2021,4440,Shasti,Dhanista,Vanija,Indra,"24 9'8""",Makara
03-10-2022,4438,Ashtami,Mula,Vishti,Sobhana,"24 10'19""",Dhanu
01-05-2022,4436,Amavasya,Bharani,Nagava,Ayushman,"24 9'56""",Mesha
09-12-2019,4422,Dvadasi,Ashwini,Balava,Parigha,"24 7'53""",Mesha
16-10-2019,4420,Vidhiya,Bharani,Garaja,Vajra,"24 7'45""",Mesha
04-12-2021,4420,Amavasya,Anuradha,Chatushpada,Sukarman,"24 9'35""",Vrushchika
30-09-2021,4413,Navami,Punarwasu,Taitula,Parigha,"24 9'25""",Mithuna
10-01-2022,4408,Ashtami,Revathi,Bawa,Siva,"24 9'41""",Meena
07-02-2020,4391,Trayodasi,Aarudra,Kaulava,Vishkambha,"24 8'3""",Mithuna
04-08-2021,4389,Ekadasi,Rohini,Bawa,Vyaghata,"24 9'19""",Vrushabha
19-11-2022,4387,Dasami,Uttara,Vishti,Vaidhruthi,"24 10'26""",Simha
06-11-2019,4387,Navami,Dhanista,Kaulava,Vridhi,"24 7'48""",Kumbha
08-06-2021,4380,Trayodasi,Bharani,Vanija,Atiganda,"24 9'9""",Mesha
14-02-2021,4370,Thadiya,Purva-Bhadra,Taitula,Siva,"24 8'54""",Kumbha
19-12-2019,4370,Ashtami,Uttara,Balava,Ayushman,"24 7'55""",Simha
23-06-2020,4369,Vidhiya,Punarwasu,Kaulava,Dhruva,"24 8'20""",Mithuna
08-11-2019,4368,Ekadasi,Purva-Bhadra,Vishti,Vyaghata,"24 7'48""",Kumbha
18-10-2021,4367,Trayodasi,Purva-Bhadra,Kaulava,Dhruva,"24 9'27""",Kumbha
07-11-2019,4366,Dasami,Satabhisham,Garaja,Dhruva,"24 7'48""",Kumbha
14-06-2022,4364,Punnami,Jyesta,Vishti,Sadhya,"24 10'3""",Vrushchika
28-07-2021,4359,Chaviti,Purva-Bhadra,Balava,Atiganda,"24 9'18""",Kumbha
06-01-2021,4349,Sapthami,Hasta,Bawa,Sobhana,"24 8'48""",Kanya
25-06-2020,4337,Chavithi,Aslesha,Vishti,Harshana,"24 8'21""",Karkataka
17-01-2022,4336,Chaturdasi,Aarudra,Vanija,Vaidhruthi,"24 9'43""",Mithuna
07-06-2021,4335,Dvadasi,Ashwini,Taitula,Sobhana,"24 9'9""",Mesha
22-10-2019,4334,Ashtami,Pushyami,Kaulava,Sadhya,"24 7'46""",Karkataka
31-10-2019,4330,Thadiya,Jyesta,Garaja,Sobhana,"24 7'47""",Vrushchika
11-01-2021,4326,Trayodasi,Jyesta,Garaja,Vridhi,"24 8'49""",Vrushchika
25-05-2021,4324,Chaturdasi,Swati,Garaja,Variyan,"24 9'6""",Tula
09-04-2021,4322,Dvadasi,Satabhisham,Taitula,Sukla,"24 9'0""",Kumbha
15-10-2020,4322,Trayodasi,Uttara,Vanija,Bramha,"24 8'35""",Simha
19-02-2022,4318,Thadiya,Uttara,Vanija,Dhrithi,"24 9'48""",Kanya
01-11-2019,4315,Chavithi,Mula,Vishti,Atiganda,"24 7'47""",Dhanu
18-09-2020,4313,Padyami,Uttara,Kimstughana,Sukla,"24 8'32""",Kanya
11-10-2021,4312,Panchami,Jyesta,Balava,Saubhagya,"24 9'27""",Vrushchika
23-12-2019,4307,Dvadasi,Visakha,Kaulava,Sukarman,"24 7'55""",Tula
05-03-2022,4304,Thadiya,Uttara-Bhadra,Taitula,Subha,"24 9'49""",Meena
10-12-2019,4301,Trayodasi,Bharani,Taitula,Siva,"24 7'53""",Mesha
25-12-2020,4297,Ekadasi,Ashwini,Vanija,Siva,"24 8'46""",Mesha
16-01-2022,4293,Chaturdasi,Aarudra,Garaja,Indra,"24 9'42""",Mithuna
06-11-2018,4293,Chaturdasi,Chitta,Vishti,Prithi,"24 6'59""",Kanya
24-05-2021,4287,Dvadasi,Chitta,Balava,Vyatipata,"24 9'6""",Tula
16-07-2022,4285,Thadiya,Dhanista,Vanija,Ayushman,"24 10'9""",Makara
24-09-2020,4280,Ashtami,Mula,Vishti,Saubhagya,"24 8'33""",Dhanu
01-11-2020,4266,Padyami,Bharani,Balava,Siddhi,"24 8'37""",Mesha
12-10-2020,4260,Dasami,Pushyami,Vanija,Sadhya,"24 8'35""",Karkataka
12-11-2022,4257,Chaviti,Mrugasira,Bawa,Siddha,"24 10'25""",Mithuna
08-05-2020,4250,Padyami,Visakha,Balava,Variyan,"24 8'13""",Tula
11-07-2022,4248,Dvadasi,Anuradha,Balava,Sukla,"24 10'8""",Vrushchika
17-01-2020,4246,Sapthami,Hasta,Bawa,Sukarman,"24 8'0""",Kanya
29-10-2019,4238,Padyami,Visakha,Bawa,Ayushman,"24 7'47""",Tula
20-06-2022,4223,Sapthami,Satabhisham,Vishti,Prithi,"24 10'4""",Kumbha
01-11-2021,4221,Ekadasi,Pubha,Bawa,Indra,"24 9'29""",Simha
22-06-2020,4219,Padyami,Aarudra,Bawa,Vridhi,"24 8'20""",Mithuna
18-06-2020,4205,Dvadasi,Bharani,Taitula,Sukarman,"24 8'19""",Mesha
24-06-2021,4203,Chaturdasi,Jyesta,Vanija,Subha,"24 9'12""",Vrushchika
29-09-2020,4200,Trayodasi,Satabhisham,Kaulava,Soola,"24 8'34""",Kumbha
13-06-2022,4188,Chaturdasi,Anuradha,Garaja,Siddha,"24 10'3""",Vrushchika
16-01-2020,4178,Shasti,Uttara,Vanija,Atiganda,"24 7'59""",Kanya
02-10-2020,4170,Punnami,Uttara-Bhadra,Bawa,Dhruva,"24 8'34""",Meena
17-10-2019,4168,Thadiya,Kruthika,Vishti,Siddhi,"24 7'45""",Vrushabha
06-12-2019,4168,Navami,Uttara-Bhadra,Kaulava,Siddhi,"24 7'52""",Meena
11-10-2019,4167,Trayodasi,Satabhisham,Kaulava,Ganda,"24 7'45""",Kumbha
05-02-2022,4166,Chavithi,Uttara-Bhadra,Vishti,Siddha,"24 9'46""",Meena
11-06-2020,4166,Shasti,Dhanista,Garaja,Vaidhruthi,"24 8'18""",Makara
08-10-2019,4165,Dasami,Sravanam,Taitula,Dhrithi,"24 7'44""",Makara
10-10-2019,4159,Dvadasi,Satabhisham,Bawa,Soola,"24 7'45""",Kumbha
05-11-2019,4159,Ashtami,Sravanam,Bawa,Ganda,"24 7'48""",Makara
27-07-2021,4158,Thadiya,Satabhisham,Vishti,Sobhana,"24 9'18""",Kumbha
21-10-2019,4158,Sapthami,Punarwasu,Bawa,Siddha,"24 7'46""",Mithuna
24-06-2020,4153,Thadiya,Pushyami,Garaja,Vyaghata,"24 8'21""",Karkataka
17-10-2022,4153,Sapthami,Aarudra,Bawa,Siva,"24 10'21""",Mithuna
20-12-2019,4152,Navami,Hasta,Taitula,Saubhagya,"24 7'55""",Kanya
24-01-2020,4146,Chaturdasi,Purva-Shada,Sakuna,Harshana,"24 8'1""",Dhanu
24-10-2019,4146,Dasami,Makha,Vishti,Sukla,"24 7'46""",Simha
14-02-2020,4145,Shasti,Chitta,Garaja,Ganda,"24 8'4""",Tula
13-10-2020,4144,Ekadasi,Makha,Bawa,Subha,"24 8'35""",Simha
18-12-2019,4142,Shasti,Makha,Vanija,Prithi,"24 7'54""",Simha
13-02-2020,4141,Panchami,Hasta,Kaulava,Soola,"24 8'4""",Kanya
29-05-2020,4138,Sapthami,Aslesha,Garaja,Vyaghata,"24 8'16""",Karkataka
25-10-2019,4138,Dvadasi,Pubha,Kaulava,Bramha,"24 7'46""",Simha
20-03-2020,4136,Ekadasi,Sravanam,Balava,Siva,"24 8'7""",Makara
16-06-2020,4128,Dasami,Revathi,Vishti,Sobhana,"24 8'19""",Meena
26-12-2022,4125,Thadiya,Sravanam,Garaja,Harshana,"24 10'33""",Makara
17-12-2019,4106,Panchami,Aslesha,Taitula,Vaidhruthi,"24 7'54""",Karkataka
28-09-2022,4104,Vidhiya,Chitta,Kaulava,Indra,"24 10'19""",Tula
09-04-2020,4093,Padyami,Chitta,Kaulava,Harshana,"24 8'9""",Tula
09-11-2018,4092,Vidhiya,Anuradha,Balava,Sobhana,"24 7'0""",Vrushchika
04-10-2019,4091,Shasti,Jyesta,Taitula,Ayushman,"24 7'44""",Vrushchika
30-04-2021,4084,Chaviti,Jyesta,Bawa,Parigha,"24 9'3""",Vrushchika
15-01-2023,4083,Ashtami,Chitta,Balava,Sukarman,"24 10'36""",Kanya
30-09-2020,4082,Chaturdasi,Purva-Bhadra,Garaja,Ganda,"24 8'34""",Kumbha
21-02-2021,4076,Navami,Rohini,Balava,Vaidhruthi,"24 8'55""",Vrushabha
05-06-2020,4072,Chaturdasi,Anuradha,Vanija,Siddha,"24 8'17""",Vrushchika
24-04-2020,4066,Padyami,Bharani,Bawa,Ayushman,"24 8'11""",Mesha
17-06-2020,4065,Ekadasi,Ashwini,Balava,Atiganda,"24 8'19""",Mesha
20-05-2021,4064,Ashtami,Makha,Bawa,Dhruva,"24 9'6""",Simha
14-10-2020,4060,Dvadasi,Pubha,Kaulava,Sukla,"24 8'35""",Simha
14-01-2020,4059,Chaviti,Makha,Bawa,Ayushman,"24 7'59""",Simha
30-04-2020,4059,Sapthami,Punarwasu,Garaja,Soola,"24 8'12""",Karkataka
15-06-2020,4057,Navami,Revathi,Garaja,Saubhagya,"24 8'19""",Meena
23-09-2020,4056,Sapthami,Jyesta,Garaja,Prithi,"24 8'33""",Vrushchika
02-01-2023,4055,Ekadasi,Bharani,Vanija,Siddha,"24 10'34""",Mesha
15-11-2020,4051,Amavasya,Visakha,Nagava,Saubhagya,"24 8'39""",Tula
30-10-2019,4047,Vidhiya,Anuradha,Kaulava,Saubhagya,"24 7'47""",Vrushchika
05-03-2021,4045,Sapthami,Anuradha,Vishti,Harshana,"24 8'57""",Vrushchika
23-04-2021,4045,Ekadasi,Makha,Vanija,Vridhi,"24 9'2""",Simha
27-08-2022,4043,Amavasya,Makha,Chatushpada,Parigha,"24 10'15""",Simha
17-09-2020,4043,Amavasya,Pubha,Chatushpada,Sadhya,"24 8'32""",Simha
20-12-2020,4041,Shasti,Satabhisham,Kaulava,Vajra,"24 8'45""",Kumbha
23-10-2019,4041,Navami,Aslesha,Garaja,Subha,"24 7'46""",Karkataka
01-05-2020,4039,Ashtami,Pushyami,Vishti,Ganda,"24 8'12""",Karkataka
18-05-2020,4038,Ekadasi,Uttara-Bhadra,Bawa,Vishkambha,"24 8'14""",Meena
27-05-2020,4036,Chavithi,Punarwasu,Vishti,Ganda,"24 8'16""",Mithuna
03-05-2021,4025,Sapthami,Uttara-Shaada,Vishti,Subha,"24 9'3""",Makara
09-06-2020,4023,Chaviti,Uttara-Shaada,Bawa,Bramha,"24 8'18""",Makara
08-09-2022,4020,Trayodasi,Sravanam,Kaulava,Sobhana,"24 10'17""",Makara
03-10-2019,4013,Panchami,Anuradha,Balava,Prithi,"24 7'44""",Vrushchika
20-08-2022,4011,Navami,Kruthika,Taitula,Vyaghata,"24 10'14""",Vrushabha
08-10-2022,4011,Trayodasi,Purva-Bhadra,Taitula,Vridhi,"24 10'20""",Kumbha
29-11-2020,4009,Chaturdasi,Bharani,Vanija,Parigha,"24 8'42""",Mesha
10-01-2020,4009,Chaturdasi,Aarudra,Vanija,Indra,"24 7'58""",Mithuna
15-05-2020,4007,Ashtami,Dhanista,Kaulava,Bramha,"24 8'14""",Kumbha
30-08-2019,4006,Amavasya,Makha,Chatushpada,Siva,"24 7'41""",Simha
03-09-2019,4005,Chavithi,Chitta,Vishti,Sukla,"24 7'41""",Tula
15-10-2019,4004,Padyami,Ashwini,Kaulava,Harshana,"24 7'45""",Mesha
18-02-2020,3998,Dasami,Jyesta,Vanija,Harshana,"24 8'4""",Vrushchika
20-11-2021,3996,Padyami,Kruthika,Balava,Parigha,"24 9'32""",Vrushabha
26-12-2021,3996,Sapthami,Pubha,Vishti,Ayushman,"24 9'39""",Simha
18-10-2019,3994,Chaviti,Rohini,Balava,Vyatipata,"24 7'45""",Vrushabha
05-11-2018,3993,Dvadasi,Hasta,Taitula,Vishkambha,"24 6'59""",Kanya
15-11-2018,3990,Sapthami,Sravanam,Vanija,Vridhi,"24 7'1""",Makara
16-04-2021,3988,Chavithi,Rohini,Vanija,Saubhagya,"24 9'1""",Vrushabha
13-01-2020,3986,Thadiya,Aslesha,Vanija,Prithi,"24 7'59""",Karkataka
27-08-2019,3985,Ekadasi,Aarudra,Balava,Siddhi,"24 7'40""",Mithuna
29-08-2019,3985,Chaturdasi,Aslesha,Vishti,Variyan,"24 7'41""",Karkataka
24-09-2022,3983,Trayodasi,Makha,Vanija,Sadhya,"24 10'18""",Simha
27-05-2021,3981,Padyami,Anuradha,Balava,Siddha,"24 9'7""",Vrushchika
12-01-2021,3974,Chaturdasi,Mula,Vishti,Dhruva,"24 8'49""",Dhanu
16-10-2022,3967,Shasti,Aarudra,Vanija,Parigha,"24 10'21""",Mithuna
13-09-2019,3964,Chaturdasi,Satabhisham,Vanija,Dhrithi,"24 7'42""",Kumbha
04-05-2021,3960,Ashtami,Sravanam,Balava,Sukla,"24 9'3""",Makara
13-08-2022,3952,Padyami,Dhanista,Kaulava,Sobhana,"24 10'14""",Kumbha
13-11-2021,3951,Navami,Satabhisham,Kaulava,Dhruva,"24 9'31""",Kumbha
24-04-2022,3945,Ashtami,Sravanam,Kaulava,Sadhya,"24 9'55""",Makara
28-05-2020,3944,Shasti,Pushyami,Kaulava,Vridhi,"24 8'16""",Karkataka
03-12-2019,3942,Sapthami,Dhanista,Garaja,Vyaghata,"24 7'52""",Kumbha
