Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
04-04-2016,739,Ekadasi,Dhanista,Balava,Sadhya,"24 5'2""",Makara
17-11-2019,735,Panchami,Punarwasu,Kaulava,Sadhya,"24 7'49""",Mithuna
19-08-2017,735,Dvadasi,Punarwasu,Taitula,Siddhi,"24 6'6""",Mithuna
22-04-2018,735,Sapthami,Punarwasu,Garaja,Sukarman,"24 6'34""",Mithuna
04-11-2017,734,Punnami,Ashwini,Bawa,Siddhi,"24 6'13""",Mesha
13-11-2016,734,Trayodasi,Ashwini,Taitula,Siddhi,"24 5'29""",Mesha
12-02-2017,733,Padyami,Makha,Kaulava,Atiganda,"24 5'42""",Simha
28-04-2016,732,Shasti,Purva-Shada,Garaja,Siddha,"24 5'4""",Dhanu
16-12-2018,728,Ashtami,Purva-Bhadra,Bawa,Siddhi,"24 7'6""",Meena
10-06-2016,727,Shasti,Aslesha,Kaulava,Vyaghata,"24 5'10""",Karkataka
26-02-2017,727,Amavasya,Dhanista,Chatushpada,Siva,"24 5'44""",Kumbha
02-06-2016,726,Dvadasi,Ashwini,Kaulava,Saubhagya,"24 5'9""",Mesha
10-09-2016,726,Ashtami,Jyesta,Bawa,Prithi,"24 5'22""",Vrushchika
06-01-2018,724,Panchami,Makha,Kaulava,Ayushman,"24 6'23""",Simha
24-09-2017,724,Chavithi,Swati,Vishti,Vaidhruthi,"24 6'9""",Tula
29-03-2016,723,Panchami,Anuradha,Taitula,Siddhi,"24 5'2""",Vrushchika
04-03-2018,722,Vidhiya,Hasta,Garaja,Ganda,"24 6'30""",Kanya
14-07-2018,720,Padyami,Pushyami,Bawa,Harshana,"24 6'47""",Karkataka
26-11-2016,720,Dvadasi,Chitta,Taitula,Ayushman,"24 5'30""",Kanya
22-07-2018,718,Dasami,Visakha,Taitula,Subha,"24 6'48""",Tula
31-03-2018,718,Punnami,Uttara,Vishti,Vridhi,"24 6'32""",Kanya
17-05-2016,718,Ekadasi,Uttara,Vanija,Vajra,"24 5'7""",Kanya
23-09-2017,717,Thadiya,Swati,Garaja,Indra,"24 6'9""",Tula
29-04-2017,717,Thadiya,Rohini,Garaja,Sobhana,"24 5'49""",Vrushabha
