Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
21-12-2016,2339,,,,,,,
27-10-2016,2338,,,,,,,
26-08-2016,2331,,,,,,,
03-03-2017,2330,,,,,,,
15-08-2016,2330,,,,,,,
06-02-2017,2330,,,,,,,
11-08-2016,2326,,,,,,,
10-10-2021,2325,,,,,,,
23-05-2021,2323,,,,,,,
23-01-2017,2320,,,,,,,
24-08-2016,2318,,,,,,,
20-03-2017,2314,,,,,,,
08-08-2016,2314,,,,,,,
08-02-2023,2312,,,,,,,
26-12-2019,2312,,,,,,,
06-03-2021,2308,,,,,,,
05-05-2017,2298,,,,,,,
06-04-2017,2295,,,,,,,
24-04-2021,2292,,,,,,,
29-03-2017,2290,,,,,,,
22-06-2016,2286,,,,,,,
17-03-2020,2286,,,,,,,
02-09-2016,2286,,,,,,,
27-06-2019,2285,,,,,,,
27-06-2016,2283,,,,,,,
05-05-2020,2282,,,,,,,
28-02-2017,2276,,,,,,,
26-09-2016,2270,,,,,,,
02-03-2017,2269,,,,,,,
02-08-2016,2265,,,,,,,
17-08-2016,2263,,,,,,,
24-06-2016,2258,,,,,,,
22-07-2016,2256,,,,,,,
27-07-2016,2256,,,,,,,
23-11-2018,2253,,,,,,,
25-01-2017,2250,,,,,,,
14-12-2019,2250,,,,,,,
02-09-2019,2250,,,,,,,
23-08-2016,2243,,,,,,,
21-03-2017,2241,,,,,,,
09-08-2016,2240,,,,,,,
16-02-2017,2238,,,,,,,
07-02-2023,2235,,,,,,,
30-05-2021,2235,,,,,,,
16-08-2016,2235,,,,,,,
01-02-2023,2226,,,,,,,
01-08-2016,2226,,,,,,,
24-01-2017,2225,,,,,,,
30-06-2016,2225,,,,,,,
26-07-2016,2223,,,,,,,
29-07-2016,2216,,,,,,,
05-06-2019,2215,,,,,,,
03-04-2021,2214,,,,,,,
05-07-2016,2214,,,,,,,
28-03-2017,2212,,,,,,,
24-12-2018,2202,,,,,,,
18-08-2016,2202,,,,,,,
27-03-2023,2202,,,,,,,
22-03-2017,2200,,,,,,,
25-03-2023,2200,,,,,,,
13-02-2023,2198,,,,,,,
15-02-2017,2198,,,,,,,
29-06-2016,2198,,,,,,,
23-02-2017,2193,,,,,,,
17-04-2017,2188,,,,,,,
30-01-2017,2186,,,,,,,
07-03-2017,2181,,,,,,,
05-04-2017,2181,,,,,,,
16-03-2017,2180,,,,,,,
28-12-2019,2180,,,,,,,
02-02-2023,2180,,,,,,,
06-02-2023,2179,,,,,,,
27-01-2017,2178,,,,,,,
20-06-2020,2173,,,,,,,
28-07-2016,2172,,,,,,,
19-08-2016,2170,,,,,,,
18-01-2017,2170,,,,,,,
27-03-2021,2168,,,,,,,
19-04-2017,2165,,,,,,,
22-02-2017,2164,,,,,,,
26-07-2017,2163,,,,,,,
23-05-2017,2154,,,,,,,
30-03-2017,2154,,,,,,,
06-03-2017,2153,,,,,,,
01-05-2021,2152,,,,,,,
20-03-2021,2152,,,,,,,
06-07-2016,2148,,,,,,,
13-04-2017,2148,,,,,,,
19-05-2017,2146,,,,,,,
22-08-2016,2142,,,,,,,
28-06-2016,2142,,,,,,,
31-03-2017,2140,,,,,,,
14-07-2016,2132,,,,,,,
09-03-2017,2132,,,,,,,
25-12-2021,2126,,,,,,,
05-07-2019,2123,,,,,,,
26-10-2019,2115,,,,,,,
18-04-2017,2114,,,,,,,
01-05-2017,2113,,,,,,,
22-05-2017,2111,,,,,,,
08-03-2017,2110,,,,,,,
18-05-2017,2109,,,,,,,
12-04-2017,2101,,,,,,,
20-04-2017,2099,,,,,,,
09-05-2021,2094,,,,,,,
08-12-2019,2092,,,,,,,
24-05-2017,2089,,,,,,,
22-12-2019,2088,,,,,,,
31-03-2023,2088,,,,,,,
13-02-2017,2083,,,,,,,
07-07-2016,2081,,,,,,,
17-04-2021,2080,,,,,,,
25-08-2016,2079,,,,,,,
30-03-2020,2075,,,,,,,
26-01-2017,2075,,,,,,,
21-04-2017,2072,,,,,,,
24-11-2017,2069,,,,,,,
03-04-2017,2059,,,,,,,
14-03-2020,2057,,,,,,,
27-02-2017,2053,,,,,,,
22-11-2018,2052,,,,,,,
04-04-2017,2049,,,,,,,
23-03-2017,2046,,,,,,,
25-07-2016,2043,,,,,,,
30-12-2016,2042,,,,,,,
27-06-2020,2037,,,,,,,
14-04-2017,2037,,,,,,,
02-05-2017,2035,,,,,,,
26-04-2017,2033,,,,,,,
22-03-2020,2027,,,,,,,
11-04-2017,2026,,,,,,,
01-04-2020,2024,,,,,,,
21-07-2016,2019,,,,,,,
13-06-2020,2018,,,,,,,
04-05-2017,2013,,,,,,,
08-06-2017,2013,,,,,,,
08-07-2016,2012,,,,,,,
09-06-2017,2007,,,,,,,
31-03-2020,2006,,,,,,,
08-05-2017,2005,,,,,,,
10-04-2017,1999,,,,,,,
21-02-2017,1998,,,,,,,
09-05-2017,1998,,,,,,,
20-12-2018,1994,,,,,,,
19-10-2019,1990,,,,,,,
15-06-2017,1984,,,,,,,
29-12-2016,1979,,,,,,,
20-09-2020,1979,,,,,,,
19-07-2016,1975,,,,,,,
13-06-2017,1974,,,,,,,
21-06-2017,1974,,,,,,,
11-04-2021,1969,,,,,,,
15-05-2017,1967,,,,,,,
15-03-2017,1967,,,,,,,
11-05-2017,1963,,,,,,,
27-04-2017,1958,,,,,,,
27-03-2017,1957,,,,,,,
11-07-2016,1949,,,,,,,
20-06-2017,1943,,,,,,,
02-06-2017,1942,,,,,,,
17-02-2023,1937,,,,,,,
24-04-2017,1936,,,,,,,
20-07-2016,1936,,,,,,,
14-06-2017,1934,,,,,,,
28-04-2017,1932,,,,,,,
12-06-2017,1932,,,,,,,
03-05-2017,1926,,,,,,,
07-12-2019,1924,,,,,,,
16-09-2016,1916,,,,,,,
30-06-2017,1914,,,,,,,
27-02-2021,1913,,,,,,,
04-09-2017,1911,,,,,,,
28-02-2021,1909,,,,,,,
06-06-2017,1906,,,,,,,
19-06-2017,1904,,,,,,,
03-08-2020,1904,,,,,,,
14-07-2017,1899,,,,,,,
27-06-2017,1898,,,,,,,
20-03-2023,1897,,,,,,,
16-01-2017,1896,,,,,,,
08-09-2020,1893,,,,,,,
02-05-2021,1888,,,,,,,
09-11-2019,1885,,,,,,,
22-06-2017,1884,,,,,,,
25-04-2017,1876,,,,,,,
20-02-2017,1876,,,,,,,
05-06-2017,1870,,,,,,,
08-08-2021,1867,,,,,,,
25-04-2021,1864,,,,,,,
13-07-2016,1864,,,,,,,
07-07-2017,1864,,,,,,,
28-05-2018,1862,,,,,,,
23-06-2017,1860,,,,,,,
17-05-2017,1853,,,,,,,
12-10-2019,1846,,,,,,,
12-07-2016,1843,,,,,,,
12-05-2017,1843,,,,,,,
31-07-2020,1835,,,,,,,
26-02-2023,1827,,,,,,,
18-04-2021,1819,,,,,,,
21-09-2019,1815,,,,,,,
28-03-2018,1811,,,,,,,
07-06-2017,1809,,,,,,,
20-07-2017,1798,,,,,,,
05-04-2020,1796,,,,,,,
28-12-2016,1796,,,,,,,
21-12-2019,1793,,,,,,,
23-05-2020,1792,,,,,,,
04-08-2016,1792,,,,,,,
16-06-2017,1791,,,,,,,
30-03-2023,1791,,,,,,,
19-07-2017,1785,,,,,,,
10-07-2017,1784,,,,,,,
29-11-2019,1779,,,,,,,
13-09-2020,1778,,,,,,,
09-09-2020,1776,,,,,,,
21-06-2020,1773,,,,,,,
15-12-2019,1770,,,,,,,
06-10-2016,1769,,,,,,,
02-11-2019,1768,,,,,,,
05-07-2017,1765,,,,,,,
21-07-2017,1764,,,,,,,
28-06-2017,1759,,,,,,,
28-06-2020,1759,,,,,,,
06-06-2020,1755,,,,,,,
27-12-2016,1753,,,,,,,
29-08-2021,1743,,,,,,,
05-10-2019,1737,,,,,,,
24-07-2017,1737,,,,,,,
27-05-2019,1735,,,,,,,
06-07-2017,1733,,,,,,,
28-08-2020,1732,,,,,,,
11-07-2017,1726,,,,,,,
19-09-2016,1721,,,,,,,
24-11-2022,1718,,,,,,,
12-07-2017,1717,,,,,,,
04-04-2021,1717,,,,,,,
26-03-2023,1712,,,,,,,
09-05-2020,1712,,,,,,,
02-09-2020,1707,,,,,,,
25-07-2017,1707,,,,,,,
29-11-2018,1696,,,,,,,
28-09-2019,1696,,,,,,,
02-05-2020,1691,,,,,,,
18-07-2017,1691,,,,,,,
21-06-2016,1688,,,,,,,
13-07-2017,1686,,,,,,,
04-10-2020,1685,,,,,,,
17-05-2020,1682,,,,,,,
11-02-2023,1682,,,,,,,
28-03-2021,1676,,,,,,,
28-02-2023,1675,,,,,,,
18-01-2018,1675,,,,,,,
31-10-2021,1674,,,,,,,
07-03-2021,1673,,,,,,,
03-09-2020,1670,,,,,,,
19-01-2018,1670,,,,,,,
15-07-2016,1668,,,,,,,
07-03-2020,1668,,,,,,,
04-09-2020,1656,,,,,,,
01-01-2020,1655,,,,,,,
22-02-2020,1654,,,,,,,
29-06-2017,1653,,,,,,,
13-03-2021,1652,,,,,,,
14-08-2020,1645,,,,,,,
03-09-2018,1645,,,,,,,
15-02-2020,1635,,,,,,,
09-02-2020,1634,,,,,,,
13-08-2020,1633,,,,,,,
30-05-2020,1627,,,,,,,
21-03-2020,1624,,,,,,,
19-08-2020,1623,,,,,,,
20-10-2019,1620,,,,,,,
14-09-2019,1619,,,,,,,
19-03-2023,1603,,,,,,,
16-05-2020,1602,,,,,,,
04-04-2020,1598,,,,,,,
07-09-2019,1597,,,,,,,
04-07-2018,1593,,,,,,,
21-08-2020,1592,,,,,,,
13-10-2019,1590,,,,,,,
08-02-2020,1589,,,,,,,
25-11-2016,1588,,,,,,,
17-07-2020,1586,,,,,,,
20-09-2016,1583,,,,,,,
24-07-2020,1582,,,,,,,
01-02-2020,1581,,,,,,,
27-07-2020,1579,,,,,,,
18-04-2020,1579,,,,,,,
11-01-2020,1578,,,,,,,
31-08-2020,1577,,,,,,,
31-08-2019,1575,,,,,,,
26-06-2017,1572,,,,,,,
12-08-2020,1569,,,,,,,
06-10-2019,1567,,,,,,,
21-03-2021,1564,,,,,,,
29-02-2020,1564,,,,,,,
29-12-2019,1559,,,,,,,
28-07-2020,1559,,,,,,,
17-08-2020,1556,,,,,,,
14-06-2020,1555,,,,,,,
25-01-2020,1548,,,,,,,
23-11-2017,1548,,,,,,,
01-09-2020,1546,,,,,,,
22-09-2016,1544,,,,,,,
12-04-2020,1541,,,,,,,
03-07-2017,1538,,,,,,,
10-11-2019,1537,,,,,,,
25-04-2020,1532,,,,,,,
07-06-2020,1531,,,,,,,
27-10-2019,1531,,,,,,,
21-07-2020,1525,,,,,,,
18-08-2020,1517,,,,,,,
18-07-2016,1513,,,,,,,
26-08-2020,1512,,,,,,,
21-09-2016,1506,,,,,,,
22-07-2020,1500,,,,,,,
06-08-2020,1496,,,,,,,
04-08-2020,1495,,,,,,,
03-11-2019,1489,,,,,,,
17-07-2017,1482,,,,,,,
15-09-2019,1480,,,,,,,
06-07-2020,1477,,,,,,,
22-09-2019,1456,,,,,,,
02-02-2020,1454,,,,,,,
03-09-2021,1452,,,,,,,
01-07-2020,1450,,,,,,,
20-08-2020,1446,,,,,,,
07-08-2020,1439,,,,,,,
29-07-2020,1438,,,,,,,
11-04-2020,1438,,,,,,,
24-05-2020,1437,,,,,,,
27-08-2020,1436,,,,,,,
04-02-2023,1431,,,,,,,
08-07-2020,1431,,,,,,,
15-03-2020,1429,,,,,,,
01-06-2017,1427,,,,,,,
02-07-2020,1427,,,,,,,
07-07-2020,1424,,,,,,,
04-12-2020,1422,,,,,,,
30-07-2020,1417,,,,,,,
12-01-2020,1416,,,,,,,
23-07-2020,1416,,,,,,,
05-08-2020,1403,,,,,,,
16-07-2020,1403,,,,,,,
01-03-2020,1400,,,,,,,
19-09-2019,1390,,,,,,,
20-07-2020,1384,,,,,,,
30-06-2020,1382,,,,,,,
10-10-2016,1381,,,,,,,
24-08-2020,1379,,,,,,,
05-02-2023,1375,,,,,,,
15-07-2020,1373,,,,,,,
12-02-2023,1371,,,,,,,
25-08-2020,1369,,,,,,,
01-09-2019,1369,,,,,,,
04-01-2020,1366,,,,,,,
10-05-2020,1365,,,,,,,
10-08-2020,1365,,,,,,,
15-05-2021,1361,,,,,,,
26-12-2018,1358,,,,,,,
06-01-2019,1352,,,,,,,
04-07-2019,1351,,,,,,,
04-01-2017,1350,,,,,,,
24-11-2016,1350,,,,,,,
16-02-2020,1346,,,,,,,
26-04-2020,1341,,,,,,,
28-03-2020,1341,,,,,,,
19-01-2019,1341,,,,,,,
29-09-2019,1334,,,,,,,
31-10-2022,1328,,,,,,,
13-07-2021,1319,,,,,,,
11-08-2020,1318,,,,,,,
13-07-2020,1317,,,,,,,
31-05-2020,1313,,,,,,,
26-01-2020,1309,,,,,,,
05-09-2016,1308,,,,,,,
14-03-2021,1297,,,,,,,
03-08-2016,1290,,,,,,,
05-01-2020,1284,,,,,,,
23-02-2020,1283,,,,,,,
25-12-2019,1278,,,,,,,
08-03-2018,1273,,,,,,,
14-07-2020,1270,,,,,,,
19-05-2019,1267,,,,,,,
19-04-2020,1265,,,,,,,
03-07-2020,1257,,,,,,,
01-12-2018,1255,,,,,,,
08-03-2020,1235,,,,,,,
03-05-2020,1228,,,,,,,
19-01-2020,1212,,,,,,,
27-10-2018,1206,,,,,,,
18-05-2019,1195,,,,,,,
08-09-2019,1195,,,,,,,
16-05-2021,1189,,,,,,,
10-11-2018,1188,,,,,,,
26-12-2017,1185,,,,,,,
01-01-2019,1178,,,,,,,
17-11-2018,1177,,,,,,,
09-02-2019,1175,,,,,,,
04-07-2016,1169,,,,,,,
25-11-2018,1167,,,,,,,
02-02-2019,1160,,,,,,,
12-01-2019,1160,,,,,,,
01-07-2016,1146,,,,,,,
30-11-2022,1145,,,,,,,
13-04-2019,1126,,,,,,,
06-04-2019,1119,,,,,,,
11-10-2018,1118,,,,,,,
05-01-2019,1114,,,,,,,
16-02-2019,1111,,,,,,,
15-09-2018,1110,,,,,,,
10-02-2019,1105,,,,,,,
01-06-2019,1102,,,,,,,
26-05-2016,1097,,,,,,,
08-06-2019,1097,,,,,,,
20-02-2023,1097,,,,,,,
03-11-2018,1095,,,,,,,
16-06-2018,1095,,,,,,,
29-03-2020,1094,,,,,,,
11-11-2018,1091,,,,,,,
18-08-2018,1082,,,,,,,
07-09-2020,1080,,,,,,,
30-03-2019,1079,,,,,,,
08-09-2018,1071,,,,,,,
23-03-2019,1069,,,,,,,
01-11-2018,1066,,,,,,,
24-11-2018,1058,,,,,,,
17-02-2019,1054,,,,,,,
10-02-2018,1051,,,,,,,
27-05-2016,1048,,,,,,,
25-05-2016,1043,,,,,,,
29-06-2019,1042,,,,,,,
09-03-2019,1039,,,,,,,
20-01-2019,1036,,,,,,,
26-01-2019,1032,,,,,,,
03-08-2019,1030,,,,,,,
13-10-2018,1028,,,,,,,
11-08-2018,1026,,,,,,,
15-12-2018,1022,,,,,,,
24-05-2016,1018,,,,,,,
13-07-2019,1017,,,,,,,
09-07-2020,1016,,,,,,,
30-06-2019,1015,,,,,,,
28-10-2018,1013,,,,,,,
20-05-2016,1006,,,,,,,
04-05-2019,1006,,,,,,,
02-12-2018,1004,,,,,,,
17-03-2018,998,,,,,,,
18-11-2018,995,,,,,,,
10-08-2019,992,,,,,,,
04-08-2019,992,,,,,,,
23-02-2019,991,,,,,,,
21-07-2019,990,,,,,,,
28-11-2019,985,,,,,,,
16-11-2019,985,,,,,,,
01-01-2018,981,,,,,,,
11-08-2019,979,,,,,,,
10-03-2018,978,,,,,,,
30-06-2018,978,,,,,,,
06-10-2018,978,,,,,,,
22-12-2018,978,,,,,,,
02-06-2018,977,,,,,,,
07-04-2016,976,,,,,,,
19-08-2018,975,,,,,,,
12-05-2018,974,,,,,,,
07-04-2019,974,,,,,,,
20-07-2019,974,,,,,,,
24-02-2019,973,,,,,,,
07-04-2018,973,,,,,,,
04-07-2017,970,,,,,,,
23-11-2019,966,,,,,,,
04-11-2018,965,,,,,,,
18-05-2016,964,,,,,,,
25-08-2018,963,,,,,,,
11-05-2019,960,,,,,,,
07-07-2019,959,,,,,,,
12-05-2019,958,,,,,,,
21-07-2018,958,,,,,,,
17-08-2019,957,,,,,,,
20-10-2018,957,,,,,,,
10-03-2019,957,,,,,,,
11-02-2018,957,,,,,,,
01-12-2019,953,,,,,,,
16-09-2018,952,,,,,,,
01-09-2018,952,,,,,,,
29-09-2018,950,,,,,,,
27-07-2019,949,,,,,,,
20-04-2019,948,,,,,,,
24-02-2018,948,,,,,,,
05-05-2019,944,,,,,,,
29-12-2018,937,,,,,,,
15-06-2019,937,,,,,,,
17-06-2018,933,,,,,,,
22-06-2019,933,,,,,,,
03-02-2018,930,,,,,,,
22-04-2016,927,,,,,,,
02-06-2019,926,,,,,,,
16-03-2019,923,,,,,,,
27-04-2019,923,,,,,,,
28-07-2019,922,,,,,,,
09-09-2018,917,,,,,,,
23-12-2018,911,,,,,,,
04-02-2018,911,,,,,,,
03-03-2019,910,,,,,,,
03-03-2018,906,,,,,,,
20-05-2018,906,,,,,,,
17-12-2016,905,,,,,,,
22-09-2018,904,,,,,,,
02-09-2018,902,,,,,,,
21-04-2019,897,,,,,,,
13-05-2018,892,,,,,,,
30-12-2018,890,,,,,,,
05-04-2016,889,,,,,,,
09-06-2018,886,,,,,,,
24-03-2019,885,,,,,,,
18-04-2016,881,,,,,,,
26-11-2017,880,,,,,,,
14-07-2019,879,,,,,,,
28-04-2018,879,,,,,,,
23-06-2019,878,,,,,,,
01-04-2016,878,,,,,,,
09-06-2019,877,,,,,,,
10-05-2017,877,,,,,,,
07-07-2018,871,,,,,,,
08-12-2018,870,,,,,,,
16-06-2019,870,,,,,,,
21-10-2018,869,,,,,,,
18-03-2017,868,,,,,,,
12-01-2023,866,,,,,,,
12-08-2018,865,,,,,,,
18-11-2017,864,,,,,,,
14-04-2019,864,,,,,,,
23-06-2018,863,,,,,,,
31-05-2016,862,,,,,,,
21-04-2016,861,,,,,,,
27-01-2019,861,,,,,,,
07-10-2017,861,,,,,,,
05-06-2022,859,,,,,,,
18-08-2019,859,,,,,,,
27-11-2016,858,,,,,,,
13-01-2018,856,,,,,,,
01-06-2016,854,,,,,,,
08-06-2016,853,,,,,,,
02-01-2017,851,,,,,,,
05-05-2018,850,,,,,,,
06-07-2019,849,,,,,,,
17-06-2016,848,,,,,,,
19-05-2018,847,,,,,,,
01-07-2018,844,,,,,,,
14-10-2018,842,,,,,,,
07-06-2016,841,,,,,,,
03-02-2019,840,,,,,,,
20-11-2016,839,,,,,,,
29-04-2016,835,,,,,,,
20-04-2016,834,,,,,,,
24-11-2019,834,,,,,,,
24-03-2018,833,,,,,,,
06-06-2016,832,,,,,,,
25-02-2018,831,,,,,,,
06-04-2016,831,,,,,,,
30-03-2016,828,,,,,,,
26-08-2018,826,,,,,,,
16-12-2017,825,,,,,,,
26-05-2019,825,,,,,,,
25-05-2019,825,,,,,,,
30-11-2019,824,,,,,,,
24-03-2016,823,,,,,,,
21-04-2018,822,,,,,,,
07-10-2018,821,,,,,,,
14-04-2016,820,,,,,,,
25-03-2018,819,,,,,,,
25-03-2017,818,,,,,,,
16-10-2016,818,,,,,,,
26-04-2016,817,,,,,,,
02-03-2019,816,,,,,,,
10-12-2016,816,,,,,,,
14-04-2018,815,,,,,,,
23-05-2016,815,,,,,,,
03-06-2016,814,,,,,,,
11-03-2018,813,,,,,,,
08-07-2018,813,,,,,,,
30-09-2017,813,,,,,,,
26-05-2018,811,,,,,,,
13-01-2019,810,,,,,,,
30-12-2017,805,,,,,,,
22-10-2016,805,,,,,,,
28-07-2018,804,,,,,,,
31-03-2019,804,,,,,,,
08-10-2017,802,,,,,,,
09-06-2016,799,,,,,,,
24-06-2018,798,,,,,,,
25-04-2016,797,,,,,,,
12-05-2016,796,,,,,,,
03-06-2018,795,,,,,,,
07-01-2017,795,,,,,,,
12-04-2016,791,,,,,,,
15-04-2018,790,,,,,,,
17-03-2019,787,,,,,,,
10-06-2018,786,,,,,,,
19-04-2016,786,,,,,,,
28-04-2019,783,,,,,,,
27-01-2018,781,,,,,,,
11-03-2017,780,,,,,,,
11-04-2016,780,,,,,,,
19-11-2016,779,,,,,,,
09-12-2018,778,,,,,,,
15-10-2016,777,,,,,,,
10-06-2017,775,,,,,,,
04-08-2018,771,,,,,,,
19-03-2017,770,,,,,,,
19-05-2016,768,,,,,,,
11-02-2017,767,,,,,,,
30-09-2018,766,,,,,,,
09-09-2017,766,,,,,,,
13-04-2016,766,,,,,,,
23-12-2017,763,,,,,,,
10-05-2016,762,,,,,,,
27-04-2016,762,,,,,,,
29-04-2018,761,,,,,,,
04-03-2017,759,,,,,,,
14-06-2016,755,,,,,,,
18-12-2016,755,,,,,,,
13-06-2016,752,,,,,,,
17-02-2018,750,,,,,,,
11-05-2016,750,,,,,,,
11-12-2016,744,,,,,,,
27-05-2018,743,,,,,,,
18-03-2018,740,,,,,,,
30-10-2016,740,,,,,,,
04-04-2016,739,,,,,,,
17-11-2019,735,,,,,,,
19-08-2017,735,,,,,,,
22-04-2018,735,,,,,,,
04-11-2017,734,,,,,,,
13-11-2016,734,,,,,,,
12-02-2017,733,,,,,,,
28-04-2016,732,,,,,,,
16-12-2018,728,,,,,,,
10-06-2016,727,,,,,,,
26-02-2017,727,,,,,,,
02-06-2016,726,,,,,,,
10-09-2016,726,,,,,,,
06-01-2018,724,,,,,,,
24-09-2017,724,,,,,,,
29-03-2016,723,,,,,,,
04-03-2018,722,,,,,,,
14-07-2018,720,,,,,,,
26-11-2016,720,,,,,,,
22-07-2018,718,,,,,,,
31-03-2018,718,,,,,,,
17-05-2016,718,,,,,,,
23-09-2017,717,,,,,,,
29-04-2017,717,,,,,,,
04-06-2017,717,,,,,,,
20-01-2018,715,,,,,,,
05-11-2016,715,,,,,,,
18-02-2018,714,,,,,,,
14-01-2018,713,,,,,,,
05-03-2017,713,,,,,,,
05-05-2016,712,,,,,,,
04-05-2016,712,,,,,,,
23-09-2018,710,,,,,,,
01-04-2018,710,,,,,,,
04-12-2016,709,,,,,,,
21-10-2017,709,,,,,,,
12-03-2017,706,,,,,,,
23-03-2016,704,,,,,,,
01-10-2017,703,,,,,,,
15-08-2020,703,,,,,,,
27-08-2016,703,,,,,,,
05-08-2018,703,,,,,,,
11-11-2017,702,,,,,,,
09-12-2017,700,,,,,,,
23-10-2016,700,,,,,,,
08-04-2017,699,,,,,,,
13-08-2017,699,,,,,,,
13-08-2016,697,,,,,,,
08-10-2016,697,,,,,,,
06-11-2016,697,,,,,,,
06-05-2017,696,,,,,,,
25-05-2017,695,,,,,,,
05-08-2017,695,,,,,,,
17-06-2017,694,,,,,,,
11-06-2017,694,,,,,,,
15-04-2017,693,,,,,,,
21-01-2017,692,,,,,,,
20-05-2017,691,,,,,,,
03-06-2017,691,,,,,,,
25-02-2017,691,,,,,,,
01-10-2016,690,,,,,,,
29-07-2018,690,,,,,,,
26-08-2017,689,,,,,,,
28-08-2016,687,,,,,,,
22-04-2017,685,,,,,,,
30-07-2016,684,,,,,,,
25-12-2018,684,,,,,,,
20-08-2017,680,,,,,,,
12-11-2016,679,,,,,,,
31-03-2016,678,,,,,,,
02-09-2017,677,,,,,,,
02-05-2016,676,,,,,,,
20-08-2016,676,,,,,,,
14-10-2017,675,,,,,,,
08-04-2018,674,,,,,,,
01-04-2017,674,,,,,,,
29-01-2017,673,,,,,,,
19-11-2017,672,,,,,,,
07-05-2017,672,,,,,,,
12-08-2017,672,,,,,,,
04-02-2017,669,,,,,,,
03-12-2016,667,,,,,,,
28-10-2017,665,,,,,,,
16-06-2016,664,,,,,,,
16-09-2017,662,,,,,,,
15-10-2017,661,,,,,,,
03-09-2017,660,,,,,,,
28-01-2018,656,,,,,,,
18-02-2017,655,,,,,,,
07-01-2018,655,,,,,,,
25-12-2017,654,,,,,,,
14-01-2017,654,,,,,,,
16-07-2021,654,,,,,,,
03-09-2016,653,,,,,,,
28-03-2016,652,,,,,,,
30-07-2017,651,,,,,,,
17-12-2017,649,,,,,,,
21-08-2016,644,,,,,,,
26-05-2017,643,,,,,,,
21-01-2018,643,,,,,,,
14-08-2016,642,,,,,,,
06-05-2018,641,,,,,,,
06-08-2017,641,,,,,,,
11-09-2016,640,,,,,,,
31-07-2016,639,,,,,,,
26-06-2016,638,,,,,,,
31-05-2017,635,,,,,,,
02-12-2017,635,,,,,,,
30-04-2017,633,,,,,,,
30-05-2017,633,,,,,,,
22-07-2017,631,,,,,,,
29-07-2017,630,,,,,,,
05-02-2017,626,,,,,,,
24-09-2016,624,,,,,,,
06-08-2016,624,,,,,,,
09-05-2016,622,,,,,,,
25-11-2017,620,,,,,,,
10-09-2017,619,,,,,,,
16-04-2017,618,,,,,,,
21-05-2017,618,,,,,,,
23-07-2016,616,,,,,,,
17-09-2016,615,,,,,,,
16-05-2017,615,,,,,,,
03-05-2016,613,,,,,,,
31-12-2016,611,,,,,,,
26-03-2017,611,,,,,,,
22-10-2017,610,,,,,,,
02-10-2016,610,,,,,,,
19-02-2017,608,,,,,,,
08-04-2016,606,,,,,,,
25-08-2019,605,,,,,,,
17-09-2017,602,,,,,,,
24-12-2016,600,,,,,,,
08-01-2017,599,,,,,,,
05-11-2017,599,,,,,,,
12-11-2017,595,,,,,,,
18-06-2017,594,,,,,,,
22-01-2017,593,,,,,,,
02-04-2017,592,,,,,,,
23-04-2017,592,,,,,,,
24-12-2017,590,,,,,,,
27-08-2017,590,,,,,,,
13-05-2017,587,,,,,,,
29-10-2017,586,,,,,,,
25-06-2017,584,,,,,,,
01-07-2017,581,,,,,,,
08-07-2017,581,,,,,,,
08-08-2020,577,,,,,,,
29-08-2020,576,,,,,,,
26-12-2016,575,,,,,,,
14-05-2017,575,,,,,,,
28-01-2017,574,,,,,,,
24-06-2017,573,,,,,,,
05-09-2020,572,,,,,,,
16-05-2016,572,,,,,,,
31-07-2017,571,,,,,,,
20-06-2016,568,,,,,,,
24-07-2016,568,,,,,,,
25-06-2016,567,,,,,,,
15-01-2017,561,,,,,,,
07-08-2016,560,,,,,,,
03-12-2017,556,,,,,,,
16-08-2020,555,,,,,,,
04-09-2016,553,,,,,,,
01-08-2020,550,,,,,,,
06-09-2020,548,,,,,,,
25-07-2020,545,,,,,,,
09-04-2017,542,,,,,,,
25-09-2016,539,,,,,,,
16-07-2016,532,,,,,,,
31-12-2017,526,,,,,,,
09-07-2017,521,,,,,,,
10-12-2017,519,,,,,,,
18-07-2020,515,,,,,,,
22-08-2020,510,,,,,,,
25-03-2016,504,,,,,,,
30-08-2020,503,,,,,,,
18-03-2023,502,,,,,,,
23-07-2017,501,,,,,,,
30-05-2016,501,,,,,,,
18-09-2016,497,,,,,,,
10-07-2016,486,,,,,,,
16-07-2017,485,,,,,,,
09-07-2016,477,,,,,,,
15-07-2017,476,,,,,,,
23-08-2020,469,,,,,,,
11-07-2020,467,,,,,,,
03-07-2016,459,,,,,,,
02-07-2017,455,,,,,,,
09-08-2020,449,,,,,,,
19-07-2020,429,,,,,,,
02-07-2016,426,,,,,,,
25-12-2016,425,,,,,,,
02-08-2020,422,,,,,,,
26-07-2020,406,,,,,,,
05-07-2020,400,,,,,,,
04-07-2020,385,,,,,,,
12-07-2020,377,,,,,,,
28-05-2016,367,,,,,,,
21-05-2016,367,,,,,,,
09-04-2016,364,,,,,,,
22-05-2016,362,,,,,,,
04-06-2016,328,,,,,,,
11-06-2016,322,,,,,,,
12-06-2016,321,,,,,,,
29-05-2016,305,,,,,,,
10-04-2016,305,,,,,,,
05-06-2016,291,,,,,,,
18-06-2016,285,,,,,,,
25-02-2023,280,,,,,,,
03-04-2016,278,,,,,,,
29-05-2017,270,,,,,,,
27-03-2016,263,,,,,,,
02-04-2016,260,,,,,,,
