Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
11-08-2022,5762,,,,,,,
21-01-2021,5760,,,,,,,
27-12-2022,5750,,,,,,,
28-10-2020,5737,,,,,,,
06-10-2021,5734,,,,,,,
26-10-2021,5721,,,,,,,
16-09-2022,5712,,,,,,,
30-08-2022,5703,,,,,,,
02-11-2020,5689,,,,,,,
29-12-2022,5684,,,,,,,
13-02-2021,5681,,,,,,,
25-10-2021,5681,,,,,,,
08-09-2021,5677,,,,,,,
22-09-2021,5672,,,,,,,
01-07-2022,5671,,,,,,,
07-02-2022,5664,,,,,,,
31-08-2022,5660,,,,,,,
15-12-2020,5649,,,,,,,
27-12-2021,5646,,,,,,,
25-01-2022,5645,,,,,,,
04-11-2020,5645,,,,,,,
14-03-2022,5644,,,,,,,
03-01-2022,5633,,,,,,,
12-12-2020,5624,,,,,,,
25-06-2021,5622,,,,,,,
12-01-2022,5613,,,,,,,
28-05-2021,5606,,,,,,,
19-10-2021,5600,,,,,,,
22-11-2021,5595,,,,,,,
05-11-2020,5594,,,,,,,
17-12-2022,5579,,,,,,,
29-07-2022,5577,,,,,,,
10-06-2022,5568,,,,,,,
29-01-2023,5555,,,,,,,
05-12-2022,5550,,,,,,,
01-09-2021,5544,,,,,,,
28-02-2022,5543,,,,,,,
13-01-2022,5539,,,,,,,
02-02-2021,5530,,,,,,,
15-09-2021,5528,,,,,,,
20-12-2021,5520,,,,,,,
14-01-2023,5519,,,,,,,
08-11-2021,5516,,,,,,,
21-07-2022,5515,,,,,,,
12-12-2022,5515,,,,,,,
19-08-2021,5506,,,,,,,
23-01-2021,5506,,,,,,,
22-09-2022,5499,,,,,,,
01-07-2021,5490,,,,,,,
07-11-2020,5483,,,,,,,
04-06-2021,5474,,,,,,,
16-09-2021,5470,,,,,,,
29-09-2021,5467,,,,,,,
23-08-2022,5462,,,,,,,
28-12-2022,5460,,,,,,,
19-01-2021,5458,,,,,,,
22-07-2022,5448,,,,,,,
30-04-2022,5440,,,,,,,
30-07-2021,5437,,,,,,,
03-11-2022,5433,,,,,,,
14-07-2022,5429,,,,,,,
01-03-2022,5428,,,,,,,
09-06-2022,5426,,,,,,,
16-06-2022,5405,,,,,,,
14-11-2020,5394,,,,,,,
09-08-2022,5392,,,,,,,
16-03-2022,5387,,,,,,,
11-06-2021,5386,,,,,,,
31-08-2021,5372,,,,,,,
27-09-2021,5371,,,,,,,
22-08-2022,5371,,,,,,,
13-10-2021,5367,,,,,,,
21-11-2020,5365,,,,,,,
21-09-2021,5363,,,,,,,
20-01-2021,5362,,,,,,,
22-01-2023,5352,,,,,,,
10-08-2022,5349,,,,,,,
31-01-2022,5348,,,,,,,
24-06-2022,5344,,,,,,,
20-08-2021,5330,,,,,,,
23-07-2021,5326,,,,,,,
28-09-2021,5325,,,,,,,
28-07-2022,5325,,,,,,,
09-07-2021,5320,,,,,,,
24-08-2022,5309,,,,,,,
16-10-2020,5267,,,,,,,
11-10-2022,5246,,,,,,,
18-07-2022,5244,,,,,,,
10-12-2022,5244,,,,,,,
06-08-2021,5242,,,,,,,
23-04-2022,5240,,,,,,,
18-01-2022,5236,,,,,,,
20-07-2022,5232,,,,,,,
21-09-2022,5228,,,,,,,
06-02-2021,5225,,,,,,,
29-06-2021,5211,,,,,,,
04-10-2022,5208,,,,,,,
16-01-2023,5206,,,,,,,
30-08-2021,5201,,,,,,,
19-07-2022,5195,,,,,,,
20-09-2022,5194,,,,,,,
04-08-2022,5194,,,,,,,
17-08-2022,5193,,,,,,,
19-01-2022,5168,,,,,,,
30-06-2022,5164,,,,,,,
14-01-2021,5162,,,,,,,
14-09-2022,5159,,,,,,,
14-05-2022,5146,,,,,,,
16-08-2022,5144,,,,,,,
30-06-2021,5139,,,,,,,
03-08-2022,5137,,,,,,,
15-06-2021,5134,,,,,,,
21-01-2023,5130,,,,,,,
08-07-2022,5126,,,,,,,
30-09-2022,5118,,,,,,,
19-12-2020,5107,,,,,,,
13-08-2021,5098,,,,,,,
17-06-2021,5092,,,,,,,
28-12-2021,5078,,,,,,,
25-09-2020,5073,,,,,,,
02-11-2022,5070,,,,,,,
29-08-2022,5070,,,,,,,
26-10-2020,5070,,,,,,,
08-08-2022,5060,,,,,,,
20-09-2021,5052,,,,,,,
21-06-2022,5049,,,,,,,
02-06-2022,5048,,,,,,,
07-09-2021,5047,,,,,,,
16-06-2021,5045,,,,,,,
31-10-2020,5043,,,,,,,
12-08-2021,5040,,,,,,,
05-10-2022,5038,,,,,,,
23-06-2022,5031,,,,,,,
27-07-2022,5030,,,,,,,
13-09-2021,5026,,,,,,,
04-01-2022,5024,,,,,,,
14-09-2021,5016,,,,,,,
24-08-2021,5008,,,,,,,
